Time (s),"Lp (A, Fast) [dB]"
107.600,74.43
107.700,73.90
107.800,73.44
107.900,72.88
108.000,72.03
108.100,71.38
108.200,70.77
108.300,70.36
108.400,69.84
108.500,69.42
108.600,69.09
108.700,68.51
108.800,67.94
108.900,67.57
109.000,67.06
109.100,66.43
109.200,66.25
109.300,65.72
109.400,65.47
109.500,67.42
109.600,67.60
109.700,68.08
109.800,68.12
109.900,67.86
110.000,67.94
110.100,67.98
110.200,68.12
110.300,68.15
110.400,68.38
110.500,67.90
110.600,68.03
110.700,67.82
110.800,68.42
110.900,70.69
111.000,70.86
111.100,70.78
111.200,70.78
111.300,70.88
111.400,70.85
111.500,70.68
111.600,70.47
111.700,69.84
111.800,69.46
111.900,68.62
112.000,68.77
112.100,68.47
112.200,68.32
112.300,68.21
112.400,69.04
112.500,69.38
112.600,69.39
112.700,69.41
112.800,68.94
112.900,69.12
113.000,69.03
113.100,69.33
113.200,69.40
113.300,69.89
113.400,69.53
113.500,69.67
113.600,70.41
113.700,73.85
113.800,76.01
113.900,76.83
114.000,77.61
114.100,78.42
114.200,78.81
114.300,79.22
114.400,79.70
114.500,79.83
114.600,80.14
114.700,80.52
114.800,80.48
114.900,80.43
115.000,80.50
115.100,80.68
115.200,80.87
115.300,80.98
115.400,81.02
115.500,81.19
115.600,81.49
115.700,81.60
115.800,81.81
115.900,82.03
116.000,82.52
116.100,83.12
116.200,83.35
116.300,83.98
116.400,84.53
116.500,85.14
116.600,85.74
116.700,86.36
116.800,86.85
116.900,87.12
117.000,87.81
117.100,88.17
117.200,88.79
117.300,89.02
117.400,89.18
117.500,89.12
117.600,88.99
117.700,88.88
117.800,88.75
117.900,88.76
118.000,88.82
118.100,88.92
118.200,88.88
118.300,88.79
118.400,88.74
118.500,88.85
118.600,88.53
118.700,87.50
118.800,85.79
118.900,83.92
119.000,82.37
119.100,82.56
119.200,82.56
119.300,82.43
119.400,82.21
119.500,82.68
119.600,83.25
119.700,83.77
119.800,83.95
119.900,83.75
120.000,83.40
120.100,80.28
120.200,77.38
120.300,75.19
120.400,74.55
120.500,74.12
120.600,72.36
120.700,71.57
120.800,70.92
120.900,70.40
121.000,70.11
121.100,69.76
121.200,69.49
121.300,69.40
121.400,69.56
121.500,69.36
121.600,69.06
121.700,69.81
121.800,69.49
121.900,69.35
122.000,69.30
122.100,69.35
122.200,69.14
122.300,69.14
122.400,69.01
122.500,68.89
122.600,68.72
122.700,68.68
122.800,68.67
122.900,68.21
123.000,68.29
123.100,68.24
123.200,67.93
123.300,67.56
123.400,67.73
123.500,67.80
123.600,67.64
123.700,66.93
123.800,66.24
123.900,66.49
124.000,66.45
124.100,65.78
124.200,65.07
124.300,63.59
124.400,62.12
124.500,60.47
124.600,60.77
124.700,60.38
124.800,58.61
124.900,57.43
125.000,56.02
